timestamp,inverter_id,p_ac_kw,p_norm,p_pred_norm,current_expected_norm,residual,residual_z,acute_residual,acute_residual_z,factor,relative_factor,factor_slope_pct_yr,lost_kw,event_type,curtailment_active,error_code,operational_state,fault_explained_by_error,dc_diagnostic
2023-02-26 11:55:00,INV 01.09.060,1.1212,0.040623187154963394,0.7860329917702549,0.8646362909472805,-0.7454098046152915,-49.69398697435277,-0.8240131037923171,-54.934206919487806,1.1,1.0,30.55797340797184,20.573310607382044,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.08.054,0.9217,0.03268439719017516,0.7744695285394545,0.8519164813934,-0.7417851313492794,-49.45234208995196,-0.8192320842032249,-54.615472280214995,1.1,1.016231062670329,27.59574265487888,20.918340704049676,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.08.055,0.7512,0.026638298592668898,0.7744695285394545,0.8519164813934,-0.7478312299467856,-49.855415329785714,-0.8252781828007312,-52.900982388288064,1.1,1.0270084563935253,30.854862387630305,21.088840684499353,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.03.016,0.4822,0.016073333223660786,0.7141554116152541,0.7855709527767796,-0.6980820783915933,-46.53880522610622,-0.7694976195531188,-51.29984130354126,1.1,1.1,49.9515469631797,20.9424623517478,outage,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.06.040,0.7809,0.03189950986625322,0.9192602603814938,0.9414740487309585,-0.8873607505152405,-22.370450927853312,-0.9095745388647053,-51.080768021195375,1.0241648522261215,1.0,36.20967828782009,21.72259117261309,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.03.015,0.9298,0.030993332465489704,0.7207825865236297,0.7794203069576863,-0.68978925405814,-45.985950270542666,-0.7484269744921965,-49.895131632813104,1.0813528538707757,1.1768906685820686,40.42889308324644,20.6936776217442,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2021-10-16 10:30:00,INV 01.03.016,0.0,0.0,0.7660940281531128,0.7483904884936741,-0.7660940281531128,-51.07293521020752,-0.7483904884936741,-49.8926992329116,0.9768911660855546,1.0040150630734144,0.7632673626408104,22.982820844593384,outage,False,0.0,4.0,False,likely_dc_side_low_input
2021-10-16 10:25:00,INV 01.03.016,0.0,0.0,0.7614573670764996,0.7438609752477978,-0.7614573670764996,-50.76382447176664,-0.7438609752477978,-49.590731683186526,0.9768911660855546,1.0040150630734144,0.7632673626408104,22.84372101229499,outage,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 10:10:00,INV 01.08.055,2.5656,0.09097872050941413,0.786078468064737,0.8626830946950844,-0.6950997475553229,-46.33998317035486,-0.7717043741856703,-49.46685900409682,1.0974516282311382,1.0312635834235928,29.87336156914812,19.601812881060106,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 09:55:00,INV 01.08.055,2.3183,0.08220922016928382,0.7715726130352785,0.8467636204741202,-0.6893633928659947,-45.95755952439965,-0.7645544003048365,-49.00854003937745,1.0974516282311382,1.0312635834235928,29.87336156914812,19.44004767882105,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 10:00:00,INV 01.08.055,2.3799,0.08439361626374807,0.7734987130665794,0.8488774220896075,-0.6891050968028313,-45.94033978685542,-0.7644838058258594,-49.004014877599396,1.0974516282311382,1.0312635834235928,29.87336156914812,19.43276372983984,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 10:05:00,INV 01.08.055,2.43,0.08617021513323413,0.7664763355324102,0.8411707024306798,-0.6803061203991762,-45.353741359945076,-0.7550004872974457,-48.39612668073515,1.0974516282311382,1.0312635834235928,29.87336156914812,19.184632595256765,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2022-02-27 10:40:00,INV 01.03.016,0.0,0.0,0.727373457844236,0.7225834535680792,-0.727373457844236,-48.491563856282404,-0.7225834535680792,-48.17223023787195,0.9934146562202678,1.1002474976607106,30.26987868915338,21.82120373532708,outage,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 10:15:00,INV 01.08.055,2.5657,0.09098227142442203,0.7628919609699261,0.8372370247308912,-0.671909689545504,-44.7939793030336,-0.7462547533064692,-47.83551823443018,1.0974516282311382,1.0312635834235928,29.87336156914812,18.947853245183214,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 10:30:00,INV 01.08.055,2.8111,0.0996843973795573,0.7628919609699261,0.8372370247308912,-0.6632075635903688,-44.213837572691254,-0.737552627351334,-47.27770509761493,1.0974516282311382,1.0312635834235928,29.87336156914812,18.7024532932484,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 10:25:00,INV 01.08.055,2.778,0.0985106424236974,0.758452066217546,0.8323644550057169,-0.6599414237938486,-43.99609491958991,-0.7338538125820194,-47.04060815376382,1.0974516282311382,1.0312635834235928,29.87336156914812,18.610348150986532,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.09.064,0.8613,0.03120652143506036,0.7821832338256502,0.8604015572082153,-0.7509767123905899,-39.87027524303354,-0.829195035773155,-44.30054084288606,1.1,1.0,31.0476247017199,20.72695726198028,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.09.061,0.8221,0.029786231293194534,0.7800176056434626,0.8580193662078089,-0.750231374350268,-37.96397547842447,-0.8282331349146144,-42.04315915539427,1.1,1.0,31.269665224774673,20.7063859320674,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.08.056,0.6673,0.023663120066865963,0.755777927539141,0.7710405691012451,-0.732114807472275,-44.25934904751634,-0.7473774490343791,-41.59020431337606,1.0201946114142288,0.9524986300813815,14.929997002051163,20.645637570718154,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-26 11:55:00,INV 01.03.017,0.1453,0.00484333336353302,0.7036861300513979,0.6803612951561302,-0.6988427966878649,-46.589519779190994,-0.6755179617925972,-41.073847537196805,0.9668533542169375,0.9668533542169375,9.026025378321858,20.965283900635946,outage,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 10:10:00,INV 01.08.056,2.2659,0.08035106016389022,0.7673868670644237,0.775623266530599,-0.6870358069005335,-41.534138191712884,-0.6952722063667087,-38.69064172803672,1.0107330472017106,0.9497750582610227,13.848208281973346,19.374409754595042,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
2023-02-28 09:55:00,INV 01.08.056,2.058,0.07297872651553323,0.7528810120349649,0.7609617194744079,-0.6799022855194317,-41.10288750599846,-0.6879829929588747,-38.28501017558982,1.0107330472017106,0.9497750582610227,13.848208281973346,19.173244451647975,acute_fault,False,0.0,4.0,False,likely_dc_side_low_input
