date,year,inverter_id,inverter_group,expected_kwh,current_expected_kwh,actual_kwh,lost_kwh,mean_residual_z,min_residual_z,mean_acute_residual_z,min_acute_residual_z,mean_factor,mean_relative_factor,strong_samples,outage_samples,slow_degradation_samples,fast_degradation_samples,curtailed_samples,error_samples,explained_fault_samples,sustained_underperformance,event_type
2019-05-30,2019,INV 01.05.029,INV 01.05,195.45406141037665,198.41022214071685,0.0,195.45406141037665,-12.608703345243313,-17.4282666311322,-13.584744280676832,-17.59929163748816,1.0151245807276086,1.024463309731951,146,132,0,0,0,146,146,True,outage
2019-06-03,2019,INV 01.05.029,INV 01.05,193.19473763063962,196.11672703608338,0.0,193.19473763063962,-12.01656749288516,-17.75729192345852,-13.01324989234741,-17.931545681927492,1.0151245807276086,1.024463309731951,146,132,0,0,0,146,146,True,outage
2019-06-02,2019,INV 01.05.029,INV 01.05,193.08045661467358,196.00071756766573,0.0,193.08045661467358,-12.002847523783792,-17.8346470720724,-13.005079006171702,-18.00965992294358,1.0151245807276086,1.024463309731951,146,130,0,0,0,146,146,True,outage
2019-07-04,2019,INV 01.03.017,INV 01.03,193.05866871728048,190.0531760768863,0.0,193.05866871728048,-12.670281117053133,-18.68455406318266,-12.868089659629224,-18.19413332170602,0.9844322316093691,0.9939250182579688,148,130,0,148,0,148,148,True,outage
2019-06-27,2019,INV 01.05.033,INV 01.05,189.9767099518357,187.64306337302426,0.0,189.9767099518357,-10.81349278399905,-15.557698167738794,-11.755736688715697,-15.853767158493975,0.9877161438399314,1.0000248914904422,149,132,0,149,0,149,149,True,outage
2019-06-27,2019,INV 01.04.026,INV 01.04,187.9613340455279,186.66642386826717,0.0,187.9613340455279,-10.413160127509915,-14.412954681563754,-10.809615735984645,-14.82109366547227,0.9931107629990161,1.0041013087820714,149,141,0,0,0,149,149,True,outage
2019-07-04,2019,INV 01.05.033,INV 01.05,187.27420644337383,184.97375702893243,0.0,187.27420644337383,-10.812096942272316,-15.191262406542593,-11.774411477506755,-15.464058482324717,0.9877161438399316,1.0000248914904422,148,133,0,148,0,148,148,True,outage
2019-06-30,2019,INV 01.05.033,INV 01.05,186.9820111367439,184.6851510074198,0.0,186.9820111367439,-10.556628616935896,-15.522298363419011,-11.433536030901088,-15.494744945379626,0.9877161438399314,1.0000248914904422,149,132,0,149,0,149,149,True,outage
2019-06-30,2019,INV 01.04.026,INV 01.04,186.60964657445444,185.32404849253317,0.0,186.60964657445444,-10.230950023682187,-14.46261963313809,-10.629366502297398,-14.877040843495287,0.9931107629990161,1.0041013087820714,149,140,0,0,0,149,149,True,outage
2019-06-29,2019,INV 01.05.033,INV 01.05,186.30294550042402,184.01442691569972,0.0,186.30294550042402,-10.506217616529682,-15.35659561267564,-11.433070475391235,-15.703346778068653,0.9877161438399314,1.0000248914904422,149,131,0,149,0,149,149,True,outage
2019-06-29,2019,INV 01.04.026,INV 01.04,185.72612183592608,184.4466105653248,0.0,185.72612183592608,-10.184109216202048,-14.35221009181885,-10.603792980688258,-14.763467556125256,0.9931107629990161,1.0041013087820714,149,140,0,0,0,149,149,True,outage
2019-07-04,2019,INV 01.04.026,INV 01.04,185.03140487258054,183.75667967178833,0.0,185.03140487258054,-10.39313397557341,-14.271829371484742,-10.8038080488474,-14.680783554901842,0.9931107629990162,1.0041013087820714,148,140,0,0,0,148,148,True,outage
2019-06-01,2019,INV 01.05.029,INV 01.05,183.84056156447696,186.62107297886777,0.0,183.84056156447696,-10.939986443451305,-17.833035192136773,-12.020666255763283,-18.008032225498265,1.0151245807276086,1.024463309731951,147,131,0,0,0,147,147,True,outage
2019-05-26,2019,INV 01.05.029,INV 01.05,181.28385267386759,184.02569493824538,0.0,181.28385267386759,-10.829819185158152,-17.48902348703546,-11.978148706480917,-17.66064470538926,1.0151245807276086,1.024463309731951,153,127,0,0,0,153,153,True,outage
2019-07-06,2019,INV 01.03.017,INV 01.03,173.3971471028984,170.69774047720435,0.0,173.3971471028984,-11.170139379995904,-18.93960287504395,-11.4377860408957,-18.4424877684247,0.9844322316093691,0.9939250182579688,148,119,0,148,0,148,148,True,outage
2019-04-17,2019,INV 01.01.004,INV 01.01,174.36759459278824,175.5689656071334,2.4469419,172.112464476888,-8.552817517476477,-13.659790784819982,-9.81184622715777,-17.82823613150715,1.006889875479161,1.0238075591556015,126,121,0,0,0,128,128,True,outage
2019-07-03,2019,INV 01.03.017,INV 01.03,171.22929295592056,168.5636349814913,0.0,171.22929295592056,-11.046568075295255,-18.833836075223328,-11.434624453648372,-18.339497070844264,0.9844322316093691,0.9939250182579688,148,123,0,148,0,148,148,True,outage
2019-07-06,2019,INV 01.04.026,INV 01.04,170.0248029912244,168.85346182737226,0.0,170.0248029912244,-9.246857115888082,-14.466735915444094,-9.674913472940643,-14.881275076403515,0.9931107629990162,1.0041013087820714,148,131,0,0,0,148,148,True,outage
2019-07-03,2019,INV 01.04.026,INV 01.04,167.0459197400996,165.89510080896272,0.0,167.0459197400996,-9.186056302916473,-15.45644473378743,-9.610352414101232,-14.852769354849963,0.9931107629990162,1.0041013087820714,148,138,0,0,0,148,148,True,outage
2019-07-06,2019,INV 01.05.033,INV 01.05,166.48249364523795,164.43744664013033,0.0,166.48249364523795,-9.40614062890881,-15.547384524321991,-10.35393454239652,-15.649804882281096,0.9877161438399316,1.0000248914904422,148,120,0,148,0,148,148,True,outage
2019-07-03,2019,INV 01.05.033,INV 01.05,166.0153329051598,163.9760244353869,0.0,166.0153329051598,-9.478103943527575,-16.07361240099556,-10.536867250169331,-16.915629383034332,0.9877161438399316,1.0000248914904422,148,125,0,148,0,148,148,True,outage
2019-07-01,2019,INV 01.04.026,INV 01.04,156.1169687880829,155.0414419902266,0.0,156.1169687880829,-7.995049821813495,-14.154153089003795,-8.583015945543854,-14.559735300492356,0.9931107629990161,1.0041013087820714,150,136,0,0,0,150,150,True,outage
2019-07-01,2019,INV 01.03.017,INV 01.03,155.75053503486663,153.325846778727,0.0,155.75053503486663,-9.404195125024058,-18.080421818613168,-9.941094195668262,-17.605857970607456,0.9844322316093691,0.9939250182579688,150,121,0,150,0,150,150,True,outage
2019-07-10,2019,INV 01.03.017,INV 01.03,154.13250349745383,151.73300438153734,0.0,154.13250349745383,-10.026577112814905,-18.757441669136032,-10.580988957851936,-18.408355797926358,0.9844322316093691,0.9939250182579688,147,114,0,147,0,147,147,True,outage
2019-05-25,2019,INV 01.05.029,INV 01.05,152.54657377095094,154.8537767406698,0.0,152.54657377095094,-8.580447068625825,-16.83250538067402,-9.926321314085454,-16.99768413313665,1.0151245807276086,1.024463309731951,146,127,0,0,0,146,146,True,outage
2019-07-10,2019,INV 01.04.026,INV 01.04,151.86157593255155,150.81536554460928,0.0,151.86157593255155,-8.484750783616276,-15.359052370167507,-9.067928527229213,-14.694675283784278,0.993110762999016,1.0041013087820714,147,139,0,0,0,147,147,True,outage
2019-07-10,2019,INV 01.05.033,INV 01.05,150.09797269353587,148.25419078705056,0.0,150.09797269353587,-8.53050599167581,-16.215247018584513,-9.76788370934605,-17.064683537083372,0.9877161438399314,1.0000248914904422,147,117,0,147,0,147,147,True,outage
