inverter_id,sigma_key,sigma,fallback_sigma
INV 01.01.001,100-250|18-30,0.02281703505817426,0.07136051321914332
INV 01.01.001,100-250|30-45,0.018934234368664683,0.07149839424903531
INV 01.01.001,100-250|45-60,0.02089135031876144,0.07125992228639176
INV 01.01.001,100-250|60+,0.015,0.0673664286422456
INV 01.01.001,100-250|8-18,0.02892664682433946,0.0662825619660865
INV 01.01.001,250-450|18-30,0.03420399645310196,0.0700468458097912
INV 01.01.001,250-450|30-45,0.040671969017055186,0.06917587346588178
INV 01.01.001,250-450|45-60,0.05853485351181329,0.08101765765037579
INV 01.01.001,250-450|60+,0.03964108243440411,0.06521230971553899
INV 01.01.001,250-450|8-18,0.05641315886614608,0.11925212247323011
INV 01.01.001,450-650|18-30,0.05052049345580136,0.12203725465125263
INV 01.01.001,450-650|30-45,0.04387867022476937,0.05909096200044332
INV 01.01.001,450-650|45-60,0.0669742200845505,0.085343159973493
INV 01.01.001,450-650|60+,0.05507926884686809,0.07228462437039743
INV 01.01.001,450-650|8-18,0.07784685151039918,0.18183269011939837
INV 01.01.001,650-850|18-30,0.047063890210477896,0.15902162003354112
INV 01.01.001,650-850|30-45,0.04000426193982461,0.08104686135868523
INV 01.01.001,650-850|45-60,0.06099414401387862,0.07958918689178723
INV 01.01.001,650-850|60+,0.07869247311448174,0.1017849294143649
INV 01.01.001,850+|18-30,0.0292949192556804,0.13987822772377745
INV 01.01.001,850+|30-45,0.037304618438352345,0.06673062002958337
INV 01.01.001,850+|45-60,0.049532768523126255,0.07094266182503936
INV 01.01.001,850+|60+,0.04496267213895787,0.05854999629814949
INV 01.01.002,100-250|18-30,0.022235601658290763,0.07136051321914332
INV 01.01.002,100-250|30-45,0.018416958935095325,0.07149839424903531
INV 01.01.002,100-250|45-60,0.0206576859120707,0.07125992228639176
INV 01.01.002,100-250|60+,0.015,0.0673664286422456
INV 01.01.002,100-250|8-18,0.02739556632691242,0.0662825619660865
INV 01.01.002,250-450|18-30,0.03563000397272871,0.0700468458097912
INV 01.01.002,250-450|30-45,0.04054805526550422,0.06917587346588178
INV 01.01.002,250-450|45-60,0.05719198662111023,0.08101765765037579
INV 01.01.002,250-450|60+,0.04093543251128512,0.06521230971553899
INV 01.01.002,250-450|8-18,0.05740804600300516,0.11925212247323011
INV 01.01.002,450-650|18-30,0.05452919457085296,0.12203725465125263
INV 01.01.002,450-650|30-45,0.04398474540598073,0.05909096200044332
INV 01.01.002,450-650|45-60,0.0669144250101625,0.085343159973493
INV 01.01.002,450-650|60+,0.0571692641499673,0.07228462437039743
INV 01.01.002,450-650|8-18,0.07207617359245316,0.18183269011939837
INV 01.01.002,650-850|18-30,0.04877223415141416,0.15902162003354112
INV 01.01.002,650-850|30-45,0.03943304224974286,0.08104686135868523
INV 01.01.002,650-850|45-60,0.06050682450978298,0.07958918689178723
INV 01.01.002,650-850|60+,0.08072951996357147,0.1017849294143649
INV 01.01.002,850+|18-30,0.04069593373997701,0.13987822772377745
INV 01.01.002,850+|30-45,0.037043905160165175,0.06673062002958337
INV 01.01.002,850+|45-60,0.05023492106783223,0.07094266182503936
INV 01.01.002,850+|60+,0.04706162530656777,0.05854999629814949
INV 01.01.003,100-250|18-30,0.020367945712141865,0.07136051321914332
INV 01.01.003,100-250|30-45,0.018978032572446263,0.07149839424903531
INV 01.01.003,100-250|45-60,0.021270362763889463,0.07125992228639176
INV 01.01.003,100-250|60+,0.015,0.0673664286422456
INV 01.01.003,100-250|8-18,0.0259018312090052,0.0662825619660865
INV 01.01.003,250-450|18-30,0.036829110884492554,0.0700468458097912
INV 01.01.003,250-450|30-45,0.04167713194290613,0.06917587346588178
