inverter_id,sigma_key,acute_sigma,fallback_acute_sigma
INV 01.01.001,100-250|18-30,0.015,0.06952106257363422
INV 01.01.001,100-250|30-45,0.01553547433895596,0.06781641380299933
INV 01.01.001,100-250|45-60,0.015,0.06532721967558715
INV 01.01.001,100-250|60+,0.015,0.0640809484748495
INV 01.01.001,100-250|8-18,0.025160410594259615,0.06215604808830127
INV 01.01.001,250-450|18-30,0.02779455958754703,0.06178241449859519
INV 01.01.001,250-450|30-45,0.03514712257276356,0.06307393098444204
INV 01.01.001,250-450|45-60,0.03181063171707377,0.059257601942802426
INV 01.01.001,250-450|60+,0.03219304816311947,0.05731078384062489
INV 01.01.001,250-450|8-18,0.05007851792485145,0.1000233083356748
INV 01.01.001,450-650|18-30,0.029106140813676615,0.08973656302677488
INV 01.01.001,450-650|30-45,0.036102808074116,0.04883495794712288
INV 01.01.001,450-650|45-60,0.05248379178531606,0.07038963345783898
INV 01.01.001,450-650|60+,0.05491689956135294,0.07136301036596528
INV 01.01.001,450-650|8-18,0.07004017640413476,0.1372128463078021
INV 01.01.001,650-850|18-30,0.04114568528355588,0.10751440332856578
INV 01.01.001,650-850|30-45,0.03221807386104983,0.07156294158184144
INV 01.01.001,650-850|45-60,0.045668554380457374,0.06061827031721666
INV 01.01.001,650-850|60+,0.07876601699206735,0.10214543936986327
INV 01.01.001,850+|18-30,0.01898525125581175,0.0947144412693271
INV 01.01.001,850+|30-45,0.041751928915634784,0.07565919066554155
INV 01.01.001,850+|45-60,0.03420828325061552,0.04672800592078137
INV 01.01.001,850+|60+,0.04508922391239846,0.058460825850471215
INV 01.01.002,100-250|18-30,0.015,0.06952106257363422
INV 01.01.002,100-250|30-45,0.015732299423155235,0.06781641380299933
INV 01.01.002,100-250|45-60,0.015,0.06532721967558715
INV 01.01.002,100-250|60+,0.015,0.0640809484748495
INV 01.01.002,100-250|8-18,0.023115928709878667,0.06215604808830127
INV 01.01.002,250-450|18-30,0.027871099872669523,0.06178241449859519
INV 01.01.002,250-450|30-45,0.03605728692342623,0.06307393098444204
INV 01.01.002,250-450|45-60,0.031908973432666694,0.059257601942802426
INV 01.01.002,250-450|60+,0.032423400587717095,0.05731078384062489
INV 01.01.002,250-450|8-18,0.04928581312815971,0.1000233083356748
INV 01.01.002,450-650|18-30,0.030537359642089888,0.08973656302677488
INV 01.01.002,450-650|30-45,0.036844789702328865,0.04883495794712288
INV 01.01.002,450-650|45-60,0.053179358619988557,0.07038963345783898
INV 01.01.002,450-650|60+,0.056910781815374734,0.07136301036596528
INV 01.01.002,450-650|8-18,0.06257248169204824,0.1372128463078021
INV 01.01.002,650-850|18-30,0.038597595479155984,0.10751440332856578
INV 01.01.002,650-850|30-45,0.032664216409856166,0.07156294158184144
INV 01.01.002,650-850|45-60,0.04582548404121775,0.06061827031721666
INV 01.01.002,650-850|60+,0.08073062560325213,0.10214543936986327
INV 01.01.002,850+|18-30,0.01963563245214374,0.0947144412693271
INV 01.01.002,850+|30-45,0.04557564686131312,0.07565919066554155
INV 01.01.002,850+|45-60,0.03602470159927569,0.04672800592078137
INV 01.01.002,850+|60+,0.0471254843078163,0.058460825850471215
INV 01.01.003,100-250|18-30,0.015,0.06952106257363422
INV 01.01.003,100-250|30-45,0.016583606987840466,0.06781641380299933
INV 01.01.003,100-250|45-60,0.015,0.06532721967558715
INV 01.01.003,100-250|60+,0.015,0.0640809484748495
INV 01.01.003,100-250|8-18,0.027121930502511212,0.06215604808830127
INV 01.01.003,250-450|18-30,0.03287374756890658,0.06178241449859519
INV 01.01.003,250-450|30-45,0.03646795698905931,0.06307393098444204
INV 01.01.003,250-450|45-60,0.03300448354873201,0.059257601942802426
INV 01.01.003,250-450|60+,0.0322840343322793,0.05731078384062489
INV 01.01.003,250-450|8-18,0.07730538263446063,0.1000233083356748
INV 01.01.003,450-650|18-30,0.1143394319146805,0.08973656302677488
INV 01.01.003,450-650|30-45,0.03903718748048192,0.04883495794712288
INV 01.01.003,450-650|45-60,0.05507306012867891,0.07038963345783898
INV 01.01.003,450-650|60+,0.059332876557464755,0.07136301036596528
INV 01.01.003,450-650|8-18,0.08844545443532009,0.1372128463078021
INV 01.01.003,650-850|18-30,0.05718639237587324,0.10751440332856578
INV 01.01.003,650-850|30-45,0.03558601742935234,0.07156294158184144
INV 01.01.003,650-850|45-60,0.04758138028557177,0.06061827031721666
INV 01.01.003,650-850|60+,0.08225479723404534,0.10214543936986327
INV 01.01.003,850+|18-30,0.037473186829817054,0.0947144412693271
INV 01.01.003,850+|30-45,0.046781264020616074,0.07565919066554155
INV 01.01.003,850+|45-60,0.03733852458698942,0.04672800592078137
INV 01.01.003,850+|60+,0.047826752025196755,0.058460825850471215
INV 01.01.004,100-250|18-30,0.02706741483101616,0.06952106257363422
INV 01.01.004,100-250|30-45,0.023702206581943268,0.06781641380299933
INV 01.01.004,100-250|45-60,0.01665138544451878,0.06532721967558715
INV 01.01.004,100-250|60+,0.015,0.0640809484748495
INV 01.01.004,100-250|8-18,0.036432070943724304,0.06215604808830127
INV 01.01.004,250-450|18-30,0.049368663887179434,0.06178241449859519
INV 01.01.004,250-450|30-45,0.052189313082413175,0.06307393098444204
INV 01.01.004,250-450|45-60,0.043875301400954164,0.059257601942802426
INV 01.01.004,250-450|60+,0.040633048293116925,0.05731078384062489
INV 01.01.004,250-450|8-18,0.06531147420060573,0.1000233083356748
INV 01.01.004,450-650|18-30,0.09597673340099226,0.08973656302677488
INV 01.01.004,450-650|30-45,0.06515718796698731,0.04883495794712288
INV 01.01.004,450-650|45-60,0.07421058199733604,0.07038963345783898
INV 01.01.004,450-650|60+,0.07361615085055725,0.07136301036596528
INV 01.01.004,450-650|8-18,0.033519101483690555,0.1372128463078021
INV 01.01.004,650-850|18-30,0.10588656569653933,0.10751440332856578
INV 01.01.004,650-850|30-45,0.10886648047104945,0.07156294158184144
INV 01.01.004,650-850|45-60,0.06629975894181347,0.06061827031721666
INV 01.01.004,650-850|60+,0.10313895411902282,0.10214543936986327
INV 01.01.004,850+|18-30,0.042257300993209033,0.0947144412693271
INV 01.01.004,850+|30-45,0.10053963566705397,0.07565919066554155
INV 01.01.004,850+|45-60,0.050807246802240906,0.04672800592078137
INV 01.01.004,850+|60+,0.06609466213560912,0.058460825850471215
INV 01.01.005,100-250|18-30,0.0194228526712566,0.06952106257363422
INV 01.01.005,100-250|30-45,0.01665814645430437,0.06781641380299933
INV 01.01.005,100-250|45-60,0.015,0.06532721967558715
INV 01.01.005,100-250|60+,0.015,0.0640809484748495
INV 01.01.005,100-250|8-18,0.02022204682677096,0.06215604808830127
INV 01.01.005,250-450|18-30,0.03022848294765084,0.06178241449859519
INV 01.01.005,250-450|30-45,0.03835340474393046,0.06307393098444204
INV 01.01.005,250-450|45-60,0.03624545378842266,0.059257601942802426
