inverter_id,date,factor_day,n_clean_samples
INV 01.01.001,2017-01-01,1.244774341168016,64
INV 01.01.001,2017-02-04,1.2294794632215735,76
INV 01.01.001,2017-02-08,0.9997000755601032,58
INV 01.01.001,2017-02-09,1.01351607434073,73
INV 01.01.001,2017-02-10,0.9783429325881813,59
INV 01.01.001,2017-02-12,0.9850149901792613,84
INV 01.01.001,2017-02-13,1.0812384583160695,94
INV 01.01.001,2017-02-15,1.0600138416993699,96
INV 01.01.001,2017-02-16,1.0243657949112301,96
INV 01.01.001,2017-02-17,0.9808431902757044,66
INV 01.01.001,2017-02-19,1.0663071435958746,93
INV 01.01.001,2017-02-20,1.0253181352976901,66
INV 01.01.001,2017-02-21,1.0220750743450746,36
INV 01.01.001,2017-02-24,0.9798596836544097,56
INV 01.01.001,2017-02-25,1.0280248646085326,99
INV 01.01.001,2017-02-26,0.997372771223689,48
INV 01.01.001,2017-02-27,1.0557222348502469,92
INV 01.01.001,2017-02-28,0.9728387101389617,58
INV 01.01.001,2017-03-01,0.9766021299589125,49
INV 01.01.001,2017-03-02,1.0205843525868672,71
INV 01.01.001,2017-03-03,1.0334852733127904,106
INV 01.01.001,2017-03-04,1.0277620800557352,100
INV 01.01.001,2017-03-05,0.9995759015338175,65
INV 01.01.001,2017-03-08,1.0039967821248654,89
INV 01.01.001,2017-03-09,1.0035350959272042,93
INV 01.01.001,2017-03-10,1.0226242692658574,59
INV 01.01.001,2017-03-11,0.9956138860832429,102
INV 01.01.001,2017-03-12,1.0302209454768556,106
INV 01.01.001,2017-03-13,1.024185533600378,101
INV 01.01.001,2017-03-14,1.0183448504519383,83
INV 01.01.001,2017-03-15,0.9953337134304305,102
INV 01.01.001,2017-03-16,1.0344455505609202,119
INV 01.01.001,2017-03-17,0.9905333069258926,82
INV 01.01.001,2017-03-18,1.0147894417269405,39
INV 01.01.001,2017-03-19,1.005119854465262,78
INV 01.01.001,2017-03-20,0.9754795654012456,58
INV 01.01.001,2017-03-21,0.986330003547253,60
INV 01.01.001,2017-03-22,1.036042945221213,86
INV 01.01.001,2017-03-23,0.9939401613815252,85
INV 01.01.001,2017-03-24,1.0096809934435615,113
INV 01.01.001,2017-03-25,1.0221867921481518,120
INV 01.01.001,2017-03-26,0.9933737709094178,126
INV 01.01.001,2017-03-27,1.000444644969175,125
INV 01.01.001,2017-03-28,0.9951426732665122,126
INV 01.01.001,2017-03-29,0.9995247071934015,85
INV 01.01.001,2017-03-30,0.9963704894956683,107
INV 01.01.001,2017-03-31,1.0059822265059943,128
INV 01.01.001,2017-04-01,0.992292961304275,128
INV 01.01.001,2017-04-02,0.9976900050470645,124
INV 01.01.001,2017-04-03,0.9983675222242174,110
INV 01.01.001,2017-04-05,1.0075942432623053,103
INV 01.01.001,2017-04-06,0.968589468778588,119
INV 01.01.001,2017-04-08,1.0069672389812094,104
INV 01.01.001,2017-04-09,0.9955492742946895,129
INV 01.01.001,2017-04-10,1.0025054649518843,124
INV 01.01.001,2017-04-11,1.0016085018917846,100
INV 01.01.001,2017-04-12,1.0213793554874895,98
INV 01.01.001,2017-04-13,0.9861979270979808,93
INV 01.01.001,2017-04-14,0.9741700647497444,127
INV 01.01.001,2017-04-15,1.0174243485548577,85
INV 01.01.001,2017-04-16,0.9964457571929697,121
INV 01.01.001,2017-04-17,1.0309290563111453,97
INV 01.01.001,2017-04-18,1.013721239093352,108
INV 01.01.001,2017-04-19,1.0038694667934929,128
INV 01.01.001,2017-04-20,1.001940044248117,127
INV 01.01.001,2017-04-21,1.0391159853091216,122
INV 01.01.001,2017-04-22,0.996543609048974,120
INV 01.01.001,2017-04-23,1.0003798958177008,110
INV 01.01.001,2017-04-24,1.0031061646373813,134
INV 01.01.001,2017-04-25,1.009684184512886,132
INV 01.01.001,2017-04-26,1.0149155250520907,128
INV 01.01.001,2017-04-27,1.0128814391497598,127
INV 01.01.001,2017-04-28,1.013306182071351,119
INV 01.01.001,2017-04-29,0.9997738641037218,129
INV 01.01.001,2017-04-30,0.9976320098367272,136
INV 01.01.001,2017-05-01,0.994621952766689,133
INV 01.01.001,2017-05-02,0.9804530863984059,87
INV 01.01.001,2017-05-03,1.0221394513470201,140
INV 01.01.001,2017-05-05,0.992679538757172,50
INV 01.01.001,2017-05-06,1.0030909260746865,121
INV 01.01.001,2017-05-07,1.0175252499768517,121
INV 01.01.001,2017-05-08,1.0036636797102978,56
