year,n,mae_norm,median_abs_error,r2
2018,1893439,0.038984153194854064,0.0172352575260295,0.8981501303491859
2019,1806328,0.03910182448381643,0.016181013693456196,0.888993847048914
2020,2001880,0.038630338068139314,0.01766931344767799,0.9098171459115386
2021,1633570,0.049553531911010903,0.019751645482697894,0.8253545963727559
2022,1966693,0.05106154193081454,0.02310439214546539,0.828621621297524
2023,1894601,0.051237173348157944,0.023510833340903314,0.8046672355949064
2024,2032212,0.05648232899831411,0.02637941097458421,0.7774393368888988
2025,1870481,0.07746325435456894,0.0371844176625816,0.6465493458706741
