year,n,mae_norm,median_abs_error,r2
2018,1893439,0.03775158506580724,0.01720770750198264,0.9030144967267527
2019,1806328,0.03624392852545563,0.01575455639083144,0.9050562256363825
2020,2001880,0.03632260974980294,0.01720905109325377,0.9183756495694301
2021,1633570,0.047920956433202405,0.019222458550956084,0.8321580547647114
2022,1966693,0.050251919142705506,0.023182488612079277,0.8328429983765108
2023,1894601,0.050059138559075636,0.023730955878367155,0.8115915385517123
2024,2032212,0.05458375925703185,0.02612503994729143,0.7882158712085285
2025,1870481,0.07439555290225612,0.03528988952598619,0.6598631790990979
