year,month,inverter_id,inverter_group,lost_kwh,mean_residual_z,min_residual_z,mean_acute_residual_z,min_acute_residual_z,mean_factor,mean_relative_factor,strong_samples,outage_samples,slow_degradation_samples,fast_degradation_samples,curtailed_samples,error_samples,explained_fault_samples
2019,1,INV 01.01.001,INV 01.01,2.8908556345271856,4.1568789873370715,-2.4195929752781353,5.650958980423802,-2.971568572531192,1.0122981058104876,0.9948231361379418,0,0,0,0,0,16,1
2019,1,INV 01.01.002,INV 01.01,3.107292785603958,3.9649005753616833,-2.309181594699486,5.98736094745026,-3.1411015854709454,1.0147024028743692,0.9970088607414707,3,0,0,0,0,16,1
2019,1,INV 01.01.003,INV 01.01,28.162615471529712,1.1409786415674548,-3.272070193757665,1.2811710479154887,-1.622787352864616,0.6134333828856703,0.5971744381297459,0,0,5,0,0,16,0
2019,1,INV 01.01.004,INV 01.01,2.3634367800649287,2.1505035702515007,-1.5163302772701712,1.8153851570342063,-0.8358915837138248,0.5591112122790776,0.5575563644033665,0,0,0,817,0,16,0
2019,1,INV 01.01.005,INV 01.01,2.12308622859749,3.1931741853515194,-2.43068809870538,3.49674122429798,-2.1941938189769417,0.8969625515218729,0.8720090249540973,0,0,2,817,0,16,1
2019,1,INV 01.01.006,INV 01.01,2.818919410371564,4.012247776024976,-2.2700190501085094,5.888030524989439,-3.1125550766549646,1.0179926560587516,1.0,1,0,0,0,0,16,2
2019,1,INV 01.01.007,INV 01.01,1.655475470294143,2.7307154006489194,-1.7045520755527115,2.677677556615796,-1.3771547947122442,0.7776580104207967,0.7661649656749367,0,0,0,817,0,16,0
2019,1,INV 01.02.008,INV 01.02,2.541495757086517,4.033950836888602,-2.6851185785177827,5.896218595260804,-3.597451483999175,1.0179926560587516,1.0,1,0,0,0,0,16,2
2019,1,INV 01.02.009,INV 01.02,3.6442944641722534,3.84060124425192,-2.83024756683516,5.567452841931373,-3.8013847409276846,1.0179926560587516,1.0,1,0,0,0,0,16,2
2019,1,INV 01.02.010,INV 01.02,16.4608085271151,1.2209656816876295,-3.2069268640006356,1.3458836710642441,-1.9438393970624785,0.6709064378295398,0.6528850494400729,0,0,4,68,0,16,0
2019,1,INV 01.02.011,INV 01.02,1.2379555672920457,2.5517782777964717,-1.3082238810400026,1.9234145629366077,-0.5000632009538064,0.5105276504462114,0.5091079099449392,0,0,0,817,0,16,0
2019,1,INV 01.02.012,INV 01.02,3.2395681774868303,3.8544617078137553,-2.4062236000837176,5.538895399290095,-3.25227225615655,1.0179926560587516,1.0,1,0,0,0,0,16,2
2019,1,INV 01.02.013,INV 01.02,11.507633336384464,1.5400285774964013,-2.060100815086552,1.76289306174197,-1.0330151676638097,0.5680577104996913,0.5506379005325213,0,0,2,817,0,16,0
2019,1,INV 01.02.014,INV 01.02,1.8313230775782194,3.462054719756537,-2.3705193838839014,3.7667489603672033,-2.3725360066757197,0.9345620475611508,0.90590317546042,0,0,0,817,0,16,1
2019,1,INV 01.03.015,INV 01.03,2.3406420918264295,4.212365234589478,-3.0259535514912805,7.7299727172817985,-4.050586908322278,1.0,1.0,0,0,0,0,0,15,0
2019,1,INV 01.03.016,INV 01.03,2.784672942100359,3.883147142842172,-2.4984732416634947,7.121040466345678,-3.232103511716767,1.0,1.0,0,0,0,0,0,15,0
2019,1,INV 01.03.017,INV 01.03,10.193721495176328,1.4239492712249397,-2.233920800273472,1.4477808375016274,-1.9653061651075505,0.9130238896421188,0.9208671406235185,0,0,2,0,0,15,0
2019,1,INV 01.03.018,INV 01.03,1.3764317571338531,2.6624335531618573,-1.4526132644492618,1.9941755628005529,-0.5950583376247138,0.5,0.5080692183620967,0,0,0,779,0,15,0
